<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
ICE.BRN,D,20150814,000000,48.7700000
ICE.BRN,D,20150816,000000,48.6200000
ICE.BRN,D,20150817,000000,48.5700000
ICE.BRN,D,20150818,000000,48.6500000
ICE.BRN,D,20150819,000000,46.8800000
ICE.BRN,D,20150820,000000,46.2500000
ICE.BRN,D,20150821,000000,45.4300000
ICE.BRN,D,20150823,000000,45.4200000
ICE.BRN,D,20150824,000000,42.4500000
ICE.BRN,D,20150825,000000,43.5000000
ICE.BRN,D,20150826,000000,43.6400000
ICE.BRN,D,20150827,000000,47.4000000
ICE.BRN,D,20150828,000000,49.9300000
ICE.BRN,D,20150830,000000,49.4500000
ICE.BRN,D,20150831,000000,53.1200000
ICE.BRN,D,20150901,000000,48.6400000
ICE.BRN,D,20150902,000000,50.4700000
ICE.BRN,D,20150903,000000,50.6000000
ICE.BRN,D,20150904,000000,49.2900000
ICE.BRN,D,20150906,000000,49.3500000
ICE.BRN,D,20150907,000000,47.7600000
ICE.BRN,D,20150908,000000,49.3100000
ICE.BRN,D,20150909,000000,47.4400000
ICE.BRN,D,20150910,000000,49.7200000
ICE.BRN,D,20150911,000000,49.0800000
ICE.BRN,D,20150913,000000,49.1300000
ICE.BRN,D,20150914,000000,47.4100000
ICE.BRN,D,20150915,000000,48.1200000
ICE.BRN,D,20150916,000000,49.9800000
ICE.BRN,D,20150917,000000,49.3500000
ICE.BRN,D,20150918,000000,47.7800000
ICE.BRN,D,20150920,000000,47.5700000
ICE.BRN,D,20150921,000000,48.7300000
ICE.BRN,D,20150922,000000,49.2000000
ICE.BRN,D,20150923,000000,47.8000000
ICE.BRN,D,20150924,000000,48.3300000
ICE.BRN,D,20150925,000000,48.3400000
ICE.BRN,D,20150927,000000,48.3900000
ICE.BRN,D,20150928,000000,47.4000000
ICE.BRN,D,20150929,000000,47.9400000
ICE.BRN,D,20150930,000000,48.4400000
ICE.BRN,D,20151001,000000,48.0600000
ICE.BRN,D,20151002,000000,48.2200000
ICE.BRN,D,20151004,000000,47.8800000
ICE.BRN,D,20151005,000000,49.2200000
ICE.BRN,D,20151006,000000,52.1500000
ICE.BRN,D,20151007,000000,51.7500000
ICE.BRN,D,20151008,000000,53.3000000
ICE.BRN,D,20151009,000000,52.4300000
ICE.BRN,D,20151011,000000,52.8100000
ICE.BRN,D,20151012,000000,50.6300000
ICE.BRN,D,20151013,000000,49.6600000
ICE.BRN,D,20151014,000000,49.5800000
ICE.BRN,D,20151015,000000,49.5300000
